Timestamp,SourceIP,DestinationIP,DnsQuery,DnsAnswer,DnsAnswerTTL,DnsQueryNames,DnsQueryClass,DnsQueryType,NumberOfAnswers,DnsResponseCode,DnsOpCode,SensorId,sus,evil
2021-05-16T17:13:14Z,10.100.1.95,10.100.0.2,https://bantuanewallet.vercel.app/ask,,,ssm.us-east-2.amazonaws.com,['IN'],['A'],0,0,0,ip-10-100-1-95,0,0
2021-05-16T17:13:14Z,10.100.0.2,10.100.1.95,http://bantuantunairasmi2024.biz.id/app6/,['52.95.19.240'],['17'],ssm.us-east-2.amazonaws.com,['IN'],['A'],1,0,0,ip-10-100-1-95,0,0
2021-05-16T17:13:14Z,10.100.1.95,10.100.0.2,https://jawattan-kossong-terkiinii2024.regist-link.biz.id/,,,ssm.us-east-2.amazonaws.com,['IN'],['AAAA'],0,0,0,ip-10-100-1-95,0,0
2021-05-16T17:13:14Z,10.100.0.2,10.100.1.95,https://bantuanbersalin.vxstr.my.id/,,,ssm.us-east-2.amazonaws.com,['IN'],['AAAA'],0,0,0,ip-10-100-1-95,0,0
2021-05-16T17:13:16Z,10.100.1.186,10.100.0.2,https://evmnodebase.com/net/connect.html,,,ssm.us-east-2.amazonaws.com,['IN'],['A'],0,0,0,ip-10-100-1-186,0,0
2021-05-16T17:13:16Z,10.100.0.2,10.100.1.186,https://thrud2.wixsite.com/hujikoop,['52.95.21.209'],['41'],ssm.us-east-2.amazonaws.com,['IN'],['A'],1,0,0,ip-10-100-1-186,0,0
2021-05-16T17:13:16Z,10.100.1.186,10.100.0.2,https://www.ing-esp-appmovil.COM,,,ssm.us-east-2.amazonaws.com,['IN'],['AAAA'],0,0,0,ip-10-100-1-186,0,0
2021-05-16T17:13:17Z,10.100.0.2,10.100.1.186,https://www.ingdirect-es-appmovil.com,,,ssm.us-east-2.amazonaws.com,['IN'],['AAAA'],0,0,0,ip-10-100-1-186,0,0
2021-05-16T17:13:17Z,10.100.1.105,10.100.0.2,https://www.ing-appmovil-es.COM,,,ssm.us-east-2.amazonaws.com,['IN'],['A'],0,0,0,ip-10-100-1-105,0,0
2021-05-16T17:13:17Z,10.100.1.105,10.100.0.2,https://www.ing-web-usuarios.com,,,ssm.us-east-2.amazonaws.com,['IN'],['AAAA'],0,0,0,ip-10-100-1-105,0,0
2021-05-16T17:13:17Z,10.100.0.2,10.100.1.105,https://www.ingmovil-es-appcliente.com,['52.95.21.209'],['40'],ssm.us-east-2.amazonaws.com,['IN'],['A'],1,0,0,ip-10-100-1-105,0,0
2021-05-16T17:13:17Z,10.100.0.2,10.100.1.105,https://www.app-ing-cliente.com/gswZfs6KTbQ7aSVh/login0,,,ssm.us-east-2.amazonaws.com,['IN'],['AAAA'],0,0,0,ip-10-100-1-105,0,0
2021-05-16T17:13:20Z,10.100.1.26,10.100.0.2,https://www.ing-esp-appmovil.com/,,,ssm.us-east-2.amazonaws.com,['IN'],['A'],0,0,0,ip-10-100-1-26,0,0
2021-05-16T17:13:20Z,10.100.0.2,10.100.1.26,https://www.ingdirect-es-appmovil.com/,['52.95.19.240'],['26'],ssm.us-east-2.amazonaws.com,['IN'],['A'],1,0,0,ip-10-100-1-26,0,0
2021-05-16T17:13:20Z,10.100.1.26,10.100.0.2,https://www.ing-appmovil-es.com/,,,ssm.us-east-2.amazonaws.com,['IN'],['AAAA'],0,0,0,ip-10-100-1-26,0,0
2021-05-16T17:13:20Z,10.100.0.2,10.100.1.26,https://www.ingmovil-es-app.com/,,,ssm.us-east-2.amazonaws.com,['IN'],['AAAA'],0,0,0,ip-10-100-1-26,0,0
2021-05-16T17:13:20Z,10.100.1.4,10.100.0.2,https://www.appcliente-ingdirect.com/,,,ssm.us-east-2.amazonaws.com,['IN'],['A'],0,0,0,ip-10-100-1-4,0,0
2021-05-16T17:13:20Z,10.100.0.2,10.100.1.4,https://s3.us-west-2.amazonaws.com/project.us-west-2.console/index.html#example@example.com,['52.95.21.209'],['39'],ssm.us-east-2.amazonaws.com,['IN'],['A'],1,0,0,ip-10-100-1-4,0,0
2021-05-16T17:13:20Z,10.100.1.4,10.100.0.2,https://smart-panda-mt30t8.mystrikingly.com/,,,ssm.us-east-2.amazonaws.com,['IN'],['AAAA'],0,0,0,ip-10-100-1-4,0,0
2021-05-16T17:13:20Z,10.100.0.2,10.100.1.4,http://dpd.flago.click/4fmOPT10859bsjJ745nrdkvnxrwp723FRHZUCLDWANARLG30/16724j9,,,ssm.us-east-2.amazonaws.com,['IN'],['AAAA'],0,0,0,ip-10-100-1-4,0,0
